class,description
Cyanidiophyceae,"1. A dense aggregation of Galdieria sulphuraria shows numerous spherical, blue-green cells, characteristic of this extremophilic alga thriving in an acidic, high-temperature environment. 
 2. The microscopic, club-shaped cells of Cyanidioschyzon merolae are visible, their simple oval form and small size distinguishing them within their blue-green algal mat. 
 3. Individual spherical cells of Cyanidium caldarium are observed, each containing a large, prominent chloroplast that occupies a significant portion of the cell's volume."
Eurypterida,"1. The fossil impression of Eurypterus remipes in dark sedimentary rock clearly delineates its segmented body, paddle-like posterior appendages, and a terminal, spine-like telson. 
 2. Preserved in stone, the formidable fossil of Mixopterus displays a robust prosoma and large anterior appendages, indicative of its predatory role in Devonian aquatic ecosystems. 
 3. The articulated fossil of Megalograptus ohioensis reveals a broad, segmented opisthosoma and a well-defined carapace, its form flattened and preserved as a dark impression on a lighter rock matrix."
Porphyridiophyceae,"1. The unicellular Porphyridium purpureum appears as a perfect red sphere, its most striking feature being a large, central, stellate chloroplast that radiates towards the cell periphery. 
 2. A spherical, rose-red cell of Erythrolobus coxiae is shown, its internal structure defined by multiple chloroplast lobes extending from a central, non-pigmented pyrenoid. 
 3. Individual cells of Flintiella sanguinaria are presented as simple, non-motile red spheres, each encapsulated within a thin extracellular matrix against a clear background."
Nephrophyceae,"1. The unicellular green alga Nephroselmis olivacea exhibits a right-left flattened cell body from which two unequal flagella emerge, with a single, large, cup-shaped chloroplast visible internally. 
 2. An individual Nephroselmis cell is shown, its surface covered by a layer of unmineralized scales, with a prominent trailing flagellum extending from its ventral side."
Collemopsidiomycetes,"1. A crustose, dark thallus of Collemopsidium spreads across an intertidal rock surface, its texture marked by subtle hills and valleys and dotted with tiny, black, flask-shaped perithecia. 
 2. Growing among barnacles, the lichen Collemopsidium forms a thin, dark crust, with numerous minute, black pycnidia visible as specks on its textured surface."
Myxosporea,"1. The pyriform myxospores of Myxobolus squamalis are clearly depicted, each featuring two prominent, bullet-shaped polar capsules at the pointed anterior end within a bivalvular shell. 
 2. In apical view, the spore of Kudoa septempunctata displays an irregular stellate shape, composed of seven unequal valves, each containing a distinct polar capsule. 
 3. The ellipsoid spore body of a Henneguya species is visible, characterized by two long, tapering tail-like projections extending from its posterior end, doubling its total length."
Flavobacteriia,"1. A pure culture of Flavobacterium columnare on an agar plate forms a distinctive rhizoid colony, with flat, root-like extensions spreading from a bright yellow center. 
 2. The hard, convex colonies of a Flavobacterium species exhibit a vibrant orange pigmentation and irregular edges, growing densely on the nutrient agar surface. 
 3. On a petri dish, a Flavobacterium species has formed smooth, circular, and slightly translucent colonies with a characteristic pale yellow coloration."
Rhombozoa,"1. The worm-like rhombogen of Dicyema sphyrocephalum displays a simple, elongated body with a distinct, disc-shaped anterior calotte used for attachment and an axial cell containing developing embryos. 

2. Visualized with fluorescent staining, the elongated body of Pseudicyema truncatum reveals a distinct head region, or calotte, with clearly visible nuclei, highlighting its simple multicellular structure against a dark background. 

"
Rostroconchia,"1. The fossilized shell of Technophorus sharpei presents an elongated, pseudo-bivalved form, characterized by a prominent posterior rostrum and fine, concentric growth lines etched across its surface. 

2. This Ordovician rostroconch fossil, Eopteria, displays a compact, teardrop-shaped shell with a clearly defined snout-like rostrum, its surface marked by subtle concentric ridges indicating its growth pattern. 

3. Preserved in limestone, the fossil of Ribeiria shows a robust, ovate shell with a thick anterior pegma and a concave dorsal margin, its surface texture defined by fine, commarginal lines. 

"
Cladistei,"1. The Senegal bichir has an elongated, serpentine body covered in hard, rhombic ganoid scales, with a unique dorsal fin composed of numerous small, independent finlets and fleshy, lobe-like pectoral fins. 

2. With a gray-olive dorsal surface, the barred bichir is distinguished by seven to eight bold, black vertical bars that provide camouflage, contrasting with its lighter, yellowish underside. 

3. The reedfish exhibits an extremely elongated, eel-like body with an olive-green dorsal surface and a yellow-orange underside, notably lacking the pelvic fins present in other bichirs. 

"
Perkinsea,"1. In host tissue, the trophozoite of Perkinsus olseni appears as a spherical cell with a large internal vacuole that displaces the nucleus, creating a characteristic ""signet-ring"" shape. 
2. When cultured and stained with Lugol's iodine, enlarged Perkinsus marinus hypnospores appear as dark blue-black spheres of varying sizes scattered throughout the host mantle tissue. 

"
Choanoflagellata,"1. The solitary cell of Monosiga brevicollis features an ovoid body with a single anterior flagellum surrounded by a flared collar of microvilli, which is used for filter-feeding. 

2. Forming a spherical, rosette-shaped colony, Salpingoeca rosetta consists of numerous cells oriented with their flagella and collars pointing outwards, creating a tightly packed, coordinated structure. 

3. The large, spherical colony of Barroeca monosierra is composed of dozens of individual cells, each with a visible flagellum, creating a hollow, rotating sphere suspended in the water. 

"
Chloromonadophyceae,"1. The unicellular alga Gonyostomum semen has a flexible, drop-shaped cell body packed with numerous bright green, oval chloroplasts and features two flagella for motility. 

2. Possessing a flattened, ovoidal body, Vacuolaria virescens is filled with many light green, ellipsoidal chloroplasts and has two flagella emerging from its anterior end. 

"
Chloroflexia,"1. The bacterium Chloroflexus aurantiacus grows as long, unbranched, flexible filaments that glide over surfaces, often aggregating to form thick, orange-to-green colored microbial mats in hot springs. 

2. Exhibiting a type 1851 morphotype, the filamentous bacterium Kouleothrix forms long, straight or slightly curved filaments, which frequently cluster together in distinctive, tightly-wound bundles or coils. 
"
Chlorobea,"1. The green sulfur bacterium Chlorobaculum tepidum is a non-motile, Gram-negative rod of variable length, often observed in scanning electron micrographs as individual, slightly textured cells. "
Spongomonadea,"1. The colonial flagellate Spongomonas uvella consists of multiple oval-shaped, colorless cells embedded within a pale, brown-yellow granular gelatinous mass, with long flagella protruding from the surface."
Hypotrichea,"1. The ciliate Euplotes has a rigid, dorso-ventrally flattened oval body with prominent, leg-like cirri on its ventral surface and a large, triangular oral region bordered by membranelles. 

2. With an elongated, flexible body, Stylonychia mytilus is characterized by two rows of marginal cirri, strong frontal cirri, and three distinct, stiff caudal cirri at its posterior end. 

"
